t,x,y,vd,xyd,nd,d,st
68,994.301,1139,0.364045,0.364044,6,5.45334,0
68,994.646,1139.11,0.364438,0.364438,6,5.47956,0
68,994.992,1139.23,0.36483,0.364831,6,5.50508,0
68,995.337,1139.35,0.365223,0.365223,6,5.52989,0
69,995.683,1139.47,0.365616,0.365615,6,5.55401,0
69,996.029,1139.59,0.366009,0.36601,6,5.57745,0
69,996.277,1139.67,0.363092,0.363092,6,5.59486,0
69,996.62,1139.79,0.363489,0.363489,6,5.61784,0
69,996.964,1139.91,0.363886,0.363887,6,5.64015,0
69,997.307,1140.03,0.364284,0.364284,6,5.66178,0
70,997.651,1140.15,0.364681,0.36468,6,5.68275,0
70,997.995,1140.28,0.365078,0.365078,6,5.70306,0
70,998.339,1140.4,0.36549,0.36549,6,5.72145,0
70,998.683,1140.53,0.365876,0.365876,6,5.73958,0
70,999.027,1140.65,0.366262,0.366262,6,5.75713,0
70,999.371,1140.78,0.366648,0.366648,6,5.7741,0
70,999.716,1140.9,0.367033,0.367032,6,5.7905,0
71,1000.06,1141.03,0.367419,0.36742,6,5.80634,0
71,1000.41,1141.16,0.368604,0.368603,6,5.82265,0
71,1000.75,1141.29,0.368976,0.368976,6,5.83797,0
71,1001.1,1141.42,0.369349,0.369348,6,5.85276,0
71,1001.44,1141.55,0.369721,0.369722,6,5.86701,0
71,1001.79,1141.68,0.370094,0.370093,6,5.88075,0
72,1002.14,1141.81,0.370458,0.370458,6,5.8944,0
72,1002.48,1141.94,0.37082,0.37082,6,5.90755,0
72,1002.83,1142.07,0.371181,0.371182,6,5.9202,0
72,1003.18,1142.2,0.371543,0.371543,6,5.93237,0
72,1003.52,1142.34,0.371905,0.371904,6,5.94406,0
72,1003.87,1142.47,0.372267,0.372267,6,5.95527,0
73,1004.22,1142.6,0.373094,0.373094,6,5.96707,0
73,1004.57,1142.74,0.373443,0.373443,6,5.97823,0
73,1004.92,1142.87,0.373792,0.373792,6,5.98895,0
73,1005.27,1143.01,0.374141,0.374141,6,5.99923,0
73,1005.62,1143.14,0.37449,0.37449,6,6.00907,0
73,1005.96,1143.28,0.374839,0.374838,6,6.01849,0
74,1006.31,1143.42,0.37519,0.37519,6,6.0278,0
74,1006.66,1143.55,0.375527,0.375527,6,6.03688,0
74,1007.01,1143.69,0.375864,0.375864,6,6.04558,0
74,1007.36,1143.83,0.376201,0.376201,6,6.0539,0
74,1007.71,1143.97,0.376539,0.376538,6,6.06184,0
74,1008.06,1144.11,0.376876,0.376876,6,6.06943,0
75,1008.41,1144.25,0.377213,0.377212,6,6.07666,0
75,1008.76,1144.38,0.377632,0.377632,6,6.08389,0
75,1009.12,1144.52,0.377959,0.377959,6,6.09062,0
75,1009.47,1144.67,0.378286,0.378285,6,6.09706,0
75,1009.82,1144.81,0.378613,0.378613,6,6.1032,0
75,1010.17,1144.95,0.37894,0.37894,6,6.10907,0
76,1010.52,1145.09,0.379267,0.379267,6,6.11466,0
76,1010.87,1145.23,0.379587,0.379587,6,6.11961,0
76,1011.23,1145.37,0.379905,0.379905,6,6.12442,0
76,1011.58,1145.52,0.380222,0.380222,6,6.12902,0
76,1011.93,1145.66,0.38054,0.38054,6,6.13342,0
76,1012.28,1145.8,0.380858,0.380857,6,6.13763,0
77,1012.64,1145.95,0.381175,0.381175,6,6.14164,0
77,1012.91,1146.06,0.378816,0.378816,6,6.14459,0
77,1013.26,1146.2,0.379138,0.379138,6,6.1481,0
77,1013.61,1146.35,0.379459,0.37946,6,6.15149,0
77,1013.96,1146.49,0.37978,0.379779,6,6.15475,0
77,1014.32,1146.63,0.380102,0.380102,6,6.15789,0
78,1014.67,1146.78,0.380423,0.380423,6,6.16091,0
78,1015.02,1146.92,0.380763,0.380763,6,6.16465,0
78,1015.37,1147.07,0.381073,0.381073,6,6.16809,0
78,1015.73,1147.21,0.381384,0.381384,6,6.17144,0
78,1016.08,1147.36,0.381694,0.381694,6,6.17469,0
78,1016.43,1147.5,0.382004,0.382004,6,6.17785,0
79,1016.79,1147.65,0.382315,0.382315,6,6.18093,0
79,1017.14,1147.79,0.382625,0.382625,6,6.18392,0
79,1017.49,1147.94,0.383577,0.383577,6,6.18734,0
79,1017.85,1148.08,0.383875,0.383875,6,6.19072,0
79,1018.21,1148.23,0.384174,0.384173,6,6.19405,0
80,1018.56,1148.37,0.384472,0.384472,6,6.19733,0
80,1018.92,1148.52,0.38477,0.38477,6,6.20057,0
80,1019.27,1148.67,0.385068,0.385068,6,6.20375,0
80,1019.63,1148.81,0.38575,0.38575,6,6.2072,0
80,1019.99,1148.96,0.386037,0.386037,6,6.21035,0
80,1020.35,1149.11,0.386325,0.386325,6,6.21351,0
81,1020.7,1149.25,0.386612,0.386612,6,6.21665,0
81,1021.06,1149.4,0.3869,0.3869,6,6.21979,0
81,1021.42,1149.55,0.387188,0.387188,6,6.22293,0
81,1021.78,1149.69,0.387476,0.387476,6,6.28596,0
81,1022.14,1149.84,0.387756,0.387755,6,6.28522,0
81,1022.49,1149.99,0.388035,0.388035,6,6.28451,0
82,1022.85,1150.14,0.388314,0.388314,6,6.28382,0
82,1023.21,1150.28,0.388593,0.388593,6,6.28316,0
82,1023.57,1150.43,0.388873,0.388873,6,6.28251,0
82,1023.93,1150.58,0.389144,0.389144,6,6.28232,0
82,1024.29,1150.72,0.389415,0.389415,6,6.28215,0
82,1024.65,1150.87,0.389686,0.389686,6,6.28198,0
